No,CHL,ANPR,Adelante,RTDZ65,No,Video,2026-04-08 13:01:06,Frente de Vehículo,,,No,CHL,ANPR,Adelante,RTDZ65,No,Video,2026-04-08 13:01:06,Frente de Vehículo
No,CHL,ANPR,Atrás,PBBF38,No,Video,2026-04-08 13:01:08,Cola de Vehículo,,,No,CHL,ANPR,Atrás,PBBF38,No,Video,2026-04-08 13:01:08,Cola de Vehículo
No,COL,ANPR,Adelante,PDZJ26,No,Video,2026-04-08 13:01:09,Frente de Vehículo,,,No,COL,ANPR,Adelante,PDZJ26,No,Video,2026-04-08 13:01:09,Frente de Vehículo
No,CHL,ANPR,Adelante,HGDL70,No,Video,2026-04-08 13:01:59,Frente de Vehículo,,,No,CHL,ANPR,Adelante,HGDL70,No,Video,2026-04-08 13:01:59,Frente de Vehículo
No,CHL,ANPR,Adelante,SKKJ85,No,Video,2026-04-08 13:02:00,Frente de Vehículo,,,No,CHL,ANPR,Adelante,SKKJ85,No,Video,2026-04-08 13:02:00,Frente de Vehículo
No,CHL,ANPR,Adelante,PDZD97,No,Video,2026-04-08 13:02:02,Frente de Vehículo,,,No,CHL,ANPR,Adelante,PDZD97,No,Video,2026-04-08 13:02:02,Frente de Vehículo
No,Unknown,ANPR,Adelante,SKPK26,No,Video,2026-04-08 13:02:03,Frente de Vehículo,,,No,Unknown,ANPR,Adelante,SKPK26,No,Video,2026-04-08 13:02:03,Frente de Vehículo
No,CHL,ANPR,Atrás,DJBZ82,No,Video,2026-04-08 13:02:06,Cola de Vehículo,,,No,CHL,ANPR,Atrás,DJBZ82,No,Video,2026-04-08 13:02:06,Cola de Vehículo
No,CHL,ANPR,Adelante,JLCY88,No,Video,2026-04-08 13:02:07,Frente de Vehículo,,,No,CHL,ANPR,Adelante,JLCY88,No,Video,2026-04-08 13:02:07,Frente de Vehículo
No,CHL,ANPR,Adelante,HVLJ20,No,Video,2026-04-08 13:02:08,Frente de Vehículo,,,No,CHL,ANPR,Adelante,HVLJ20,No,Video,2026-04-08 13:02:08,Frente de Vehículo
No,COL,ANPR,Adelante,CWBP95,No,Video,2026-04-08 13:02:10,Frente de Vehículo,,,No,COL,ANPR,Adelante,CWBP95,No,Video,2026-04-08 13:02:10,Frente de Vehículo
No,CHL,ANPR,Adelante,FSFB72,No,Video,2026-04-08 13:02:10,Frente de Vehículo,,,No,CHL,ANPR,Adelante,FSFB72,No,Video,2026-04-08 13:02:10,Frente de Vehículo
No,COL,ANPR,Atrás,SSPZ65,No,Video,2026-04-08 13:02:12,Frente de Vehículo,,,No,COL,ANPR,Atrás,SSPZ65,No,Video,2026-04-08 13:02:12,Frente de Vehículo
No,CHL,ANPR,Adelante,LZPH42,No,Video,2026-04-08 13:02:13,Frente de Vehículo,,,No,CHL,ANPR,Adelante,LZPH42,No,Video,2026-04-08 13:02:13,Frente de Vehículo
No,COL,ANPR,Atrás,TGRD95,No,Video,2026-04-08 13:02:14,Frente de Vehículo,,,No,COL,ANPR,Atrás,TGRD95,No,Video,2026-04-08 13:02:14,Frente de Vehículo
No,CHL,ANPR,Adelante,PCSW26,No,Video,2026-04-08 13:02:15,Frente de Vehículo,,,No,CHL,ANPR,Adelante,PCSW26,No,Video,2026-04-08 13:02:15,Frente de Vehículo
No,CHL,ANPR,Atrás,ZP5405,No,Video,2026-04-08 13:02:16,Cola de Vehículo,,,No,CHL,ANPR,Atrás,ZP5405,No,Video,2026-04-08 13:02:16,Cola de Vehículo
No,CHL,ANPR,Adelante,VPRL79,No,Video,2026-04-08 13:02:18,Frente de Vehículo,,,No,CHL,ANPR,Adelante,VPRL79,No,Video,2026-04-08 13:02:18,Frente de Vehículo
No,COL,ANPR,Atrás,WU7070,No,Video,2026-04-08 13:02:19,Frente de Vehículo,,,No,COL,ANPR,Atrás,WU7070,No,Video,2026-04-08 13:02:19,Frente de Vehículo
No,COL,ANPR,Adelante,VPRY27,No,Video,2026-04-08 13:02:20,Frente de Vehículo,,,No,COL,ANPR,Adelante,VPRY27,No,Video,2026-04-08 13:02:20,Frente de Vehículo
No,CHL,ANPR,Atrás,KFHP84,No,Video,2026-04-08 13:02:21,Frente de Vehículo,,,No,CHL,ANPR,Atrás,KFHP84,No,Video,2026-04-08 13:02:21,Frente de Vehículo
No,CHL,ANPR,Adelante,LPPL74,No,Video,2026-04-08 13:02:21,Frente de Vehículo,,,No,CHL,ANPR,Adelante,LPPL74,No,Video,2026-04-08 13:02:21,Frente de Vehículo
No,CHL,ANPR,Atrás,VFYD87,No,Video,2026-04-08 13:02:22,Cola de Vehículo,,,No,CHL,ANPR,Atrás,VFYD87,No,Video,2026-04-08 13:02:22,Cola de Vehículo
No,CHL,ANPR,Adelante,TGBH16,No,Video,2026-04-08 13:02:23,Frente de Vehículo,,,No,CHL,ANPR,Adelante,TGBH16,No,Video,2026-04-08 13:02:23,Frente de Vehículo
No,CHL,ANPR,Adelante,GVXT76,No,Video,2026-04-08 13:02:25,Frente de Vehículo,,,No,CHL,ANPR,Adelante,GVXT76,No,Video,2026-04-08 13:02:25,Frente de Vehículo
No,COL,ANPR,Adelante,TRYL74,No,Video,2026-04-08 13:02:25,Frente de Vehículo,,,No,COL,ANPR,Adelante,TRYL74,No,Video,2026-04-08 13:02:25,Frente de Vehículo
No,COL,ANPR,Adelante,VJLW17,No,Video,2026-04-08 13:02:27,Frente de Vehículo,,,No,COL,ANPR,Adelante,VJLW17,No,Video,2026-04-08 13:02:27,Frente de Vehículo
No,COL,ANPR,Adelante,VJJW18,No,Video,2026-04-08 13:02:28,Frente de Vehículo,,,No,COL,ANPR,Adelante,VJJW18,No,Video,2026-04-08 13:02:28,Frente de Vehículo
No,CHL,ANPR,Adelante,RBB170,No,Video,2026-04-08 13:02:29,Frente de Vehículo,,,No,CHL,ANPR,Adelante,RBB170,No,Video,2026-04-08 13:02:29,Frente de Vehículo
No,COL,ANPR,Atrás,SJKV75,No,Video,2026-04-08 13:02:32,Frente de Vehículo,,,No,COL,ANPR,Atrás,SJKV75,No,Video,2026-04-08 13:02:32,Frente de Vehículo
No,COL,ANPR,Adelante,SRLV54,No,Video,2026-04-08 13:02:34,Frente de Vehículo,,,No,COL,ANPR,Adelante,SRLV54,No,Video,2026-04-08 13:02:34,Frente de Vehículo
No,COL,ANPR,Adelante,SGZG17,No,Video,2026-04-08 13:02:36,Frente de Vehículo,,,No,COL,ANPR,Adelante,SGZG17,No,Video,2026-04-08 13:02:36,Frente de Vehículo
No,ECU,ANPR,Adelante,FLYK24,No,Video,2026-04-08 13:02:36,Frente de Vehículo,,,No,ECU,ANPR,Adelante,FLYK24,No,Video,2026-04-08 13:02:36,Frente de Vehículo
No,COL,ANPR,Atrás,VFXCL95,No,Video,2026-04-08 13:02:39,Cola de Vehículo,,,No,COL,ANPR,Atrás,VFXCL95,No,Video,2026-04-08 13:02:39,Cola de Vehículo
No,COL,ANPR,Adelante,KXHR74,No,Video,2026-04-08 13:02:39,Frente de Vehículo,,,No,COL,ANPR,Adelante,KXHR74,No,Video,2026-04-08 13:02:39,Frente de Vehículo
No,COL,ANPR,Atrás,KZ3J70,No,Video,2026-04-08 13:02:41,Cola de Vehículo,,,No,COL,ANPR,Atrás,KZ3J70,No,Video,2026-04-08 13:02:41,Cola de Vehículo
No,PER,ANPR,Atrás,C2574,No,Video,2026-04-08 13:03:23,Desconocido,,,No,PER,ANPR,Atrás,C2574,No,Video,2026-04-08 13:03:23,Desconocido
No,CHL,ANPR,Adelante,PZVY66,No,Video,2026-04-08 13:03:30,Frente de Vehículo,,,No,CHL,ANPR,Adelante,PZVY66,No,Video,2026-04-08 13:03:30,Frente de Vehículo
No,COL,ANPR,Adelante,PLRX90,No,Video,2026-04-08 13:03:30,Frente de Vehículo,,,No,COL,ANPR,Adelante,PLRX90,No,Video,2026-04-08 13:03:30,Frente de Vehículo
No,CHL,ANPR,Adelante,TKSZ39,No,Video,2026-04-08 13:03:32,Frente de Vehículo,,,No,CHL,ANPR,Adelante,TKSZ39,No,Video,2026-04-08 13:03:32,Frente de Vehículo
No,CHL,ANPR,Adelante,TBFW40,No,Video,2026-04-08 13:03:33,Frente de Vehículo,,,No,CHL,ANPR,Adelante,TBFW40,No,Video,2026-04-08 13:03:33,Frente de Vehículo
No,CHL,ANPR,Atrás,RYJH18,No,Video,2026-04-08 13:03:33,Cola de Vehículo,,,No,CHL,ANPR,Atrás,RYJH18,No,Video,2026-04-08 13:03:33,Cola de Vehículo
No,CHL,ANPR,Adelante,PBHH84,No,Video,2026-04-08 13:03:34,Frente de Vehículo,,,No,CHL,ANPR,Adelante,PBHH84,No,Video,2026-04-08 13:03:34,Frente de Vehículo
No,CHL,ANPR,Atrás,HGDP93,No,Video,2026-04-08 13:03:37,Frente de Vehículo,,,No,CHL,ANPR,Atrás,HGDP93,No,Video,2026-04-08 13:03:37,Frente de Vehículo
No,CHL,ANPR,Adelante,LXWR83,No,Video,2026-04-08 13:03:37,Frente de Vehículo,,,No,CHL,ANPR,Adelante,LXWR83,No,Video,2026-04-08 13:03:37,Frente de Vehículo
No,CHL,ANPR,Atrás,TPSJ83,No,Video,2026-04-08 13:03:39,Cola de Vehículo,,,No,CHL,ANPR,Atrás,TPSJ83,No,Video,2026-04-08 13:03:39,Cola de Vehículo
No,CHL,ANPR,Atrás,FYCP55,No,Video,2026-04-08 13:03:40,Cola de Vehículo,,,No,CHL,ANPR,Atrás,FYCP55,No,Video,2026-04-08 13:03:40,Cola de Vehículo
No,COL,ANPR,Adelante,TLGC80,No,Video,2026-04-08 13:03:40,Frente de Vehículo,,,No,COL,ANPR,Adelante,TLGC80,No,Video,2026-04-08 13:03:40,Frente de Vehículo
No,CHL,ANPR,Adelante,VGGB64,No,Video,2026-04-08 13:03:42,Frente de Vehículo,,,No,CHL,ANPR,Adelante,VGGB64,No,Video,2026-04-08 13:03:42,Frente de Vehículo
No,CHL,ANPR,Adelante,SLTJ69,No,Video,2026-04-08 13:03:44,Frente de Vehículo,,,No,CHL,ANPR,Adelante,SLTJ69,No,Video,2026-04-08 13:03:44,Frente de Vehículo
No,BRA,ANPR,Atrás,DYRY31,No,Video,2026-04-08 13:03:44,Frente de Vehículo,,,No,BRA,ANPR,Atrás,DYRY31,No,Video,2026-04-08 13:03:44,Frente de Vehículo
No,CHL,ANPR,Adelante,FLTG80,No,Video,2026-04-08 13:03:46,Frente de Vehículo,,,No,CHL,ANPR,Adelante,FLTG80,No,Video,2026-04-08 13:03:46,Frente de Vehículo
No,COL,ANPR,Adelante,RZLK96,No,Video,2026-04-08 13:03:47,Frente de Vehículo,,,No,COL,ANPR,Adelante,RZLK96,No,Video,2026-04-08 13:03:47,Frente de Vehículo
No,COL,ANPR,Atrás,SBRH20,No,Video,2026-04-08 13:03:48,Cola de Vehículo,,,No,COL,ANPR,Atrás,SBRH20,No,Video,2026-04-08 13:03:48,Cola de Vehículo
No,CHL,ANPR,Adelante,GPWF87,No,Video,2026-04-08 13:03:49,Frente de Vehículo,,,No,CHL,ANPR,Adelante,GPWF87,No,Video,2026-04-08 13:03:49,Frente de Vehículo
No,CHL,ANPR,Atrás,VGTP36,No,Video,2026-04-08 13:03:51,Frente de Vehículo,,,No,CHL,ANPR,Atrás,VGTP36,No,Video,2026-04-08 13:03:51,Frente de Vehículo
No,CHL,ANPR,Adelante,RGSB91,No,Video,2026-04-08 13:03:52,Frente de Vehículo,,,No,CHL,ANPR,Adelante,RGSB91,No,Video,2026-04-08 13:03:52,Frente de Vehículo
No,COL,ANPR,Atrás,RVTY72,No,Video,2026-04-08 13:03:53,Frente de Vehículo,,,No,COL,ANPR,Atrás,RVTY72,No,Video,2026-04-08 13:03:53,Frente de Vehículo
No,COL,ANPR,Adelante,VDHR61,No,Video,2026-04-08 13:03:54,Frente de Vehículo,,,No,COL,ANPR,Adelante,VDHR61,No,Video,2026-04-08 13:03:54,Frente de Vehículo
No,CHL,ANPR,Atrás,RWZF27,No,Video,2026-04-08 13:03:55,Cola de Vehículo,,,No,CHL,ANPR,Atrás,RWZF27,No,Video,2026-04-08 13:03:55,Cola de Vehículo
No,Unknown,ANPR,Adelante,KHKD14,No,Video,2026-04-08 13:03:56,Frente de Vehículo,,,No,Unknown,ANPR,Adelante,KHKD14,No,Video,2026-04-08 13:03:56,Frente de Vehículo
No,CHL,ANPR,Adelante,LXPW16,No,Video,2026-04-08 13:03:57,Frente de Vehículo,,,No,CHL,ANPR,Adelante,LXPW16,No,Video,2026-04-08 13:03:57,Frente de Vehículo
No,CHL,ANPR,Atrás,DLLX29,No,Video,2026-04-08 13:03:58,Cola de Vehículo,,,No,CHL,ANPR,Atrás,DLLX29,No,Video,2026-04-08 13:03:58,Cola de Vehículo
No,COL,ANPR,Atrás,LHHF14,No,Video,2026-04-08 13:04:01,Cola de Vehículo,,,No,COL,ANPR,Atrás,LHHF14,No,Video,2026-04-08 13:04:01,Cola de Vehículo
